brokered_by,status,price,bed,bath,acre_lot,street,city,state,zip_code,house_size,prev_sold_date
15402.0,for_sale,169500.0,2.0,2.0,0.17,951203.0,Haines City,Florida,33844.0,1826.0,2005-08-26 00:00:00
71247.0,for_sale,440000.0,3.0,3.0,0.69,126716.0,Willow Park,Texas,76087.0,2623.0,2014-07-23 00:00:00
83057.0,for_sale,369000.0,3.0,2.0,0.04,639426.0,Coram,New York,11727.0,1620.0,1997-04-07 00:00:00
25791.0,for_sale,323990.0,4.0,2.0,0.14,836287.0,New Smyrna Beach,Florida,32168.0,1828.0,N/A
79073.0,for_sale,699900.0,5.0,5.0,0.31,1735917.0,Naperville,Illinois,60540.0,4401.0,1999-08-27 00:00:00
9556.0,for_sale,990000.0,2.0,2.0,0.0,1675183.0,Miami,Florida,33130.0,1152.0,2018-05-11 00:00:00
46126.0,for_sale,249999.0,3.0,2.0,0.23,256170.0,Deltona,Florida,32738.0,1056.0,N/A
60510.0,for_sale,460000.0,4.0,3.0,0.15,1432054.0,Hatteras,North Carolina,27943.0,1688.0,N/A
28958.0,for_sale,795000.0,1.0,1.0,0.0,1055115.0,New York,New York,10019.0,554.0,1985-03-28 00:00:00
9520.0,for_sale,645000.0,3.0,2.0,0.78,296718.0,Harbinger,North Carolina,27941.0,2320.0,1995-03-31 00:00:00
46537.0,for_sale,449900.0,3.0,2.0,5.0,1069247.0,Sopchoppy,Florida,32358.0,1975.0,2012-06-04 00:00:00
52658.0,for_sale,149900.0,8.0,4.0,0.23,1019389.0,Cleveland,Ohio,44120.0,4146.0,N/A
33718.0,for_sale,569900.0,4.0,5.0,0.16,1056099.0,Gastonia,North Carolina,28056.0,4407.0,2019-03-28 00:00:00
72460.0,for_sale,367440.0,3.0,3.0,0.07,1386761.0,Wesley Chapel,Florida,33545.0,1818.0,N/A
71247.0,for_sale,713000.0,4.0,3.0,0.47,347017.0,Cedar Hill,Texas,75104.0,3414.0,N/A
4725.0,for_sale,129000.0,3.0,2.0,1.62,1811310.0,Fernandina Beach,Florida,32034.0,1646.0,2007-07-02 00:00:00
45813.0,for_sale,895000.0,5.0,4.0,0.0,987204.0,Pittsburgh,Pennsylvania,15222.0,3000.0,N/A
87207.0,for_sale,325000.0,3.0,2.0,0.78,1406697.0,Pipersville,Pennsylvania,18947.0,1300.0,1986-12-31 00:00:00
83375.0,for_sale,335000.0,2.0,3.0,0.17,1362636.0,Feasterville Trevose,Pennsylvania,19053.0,1928.0,2011-11-04 00:00:00
22390.0,for_sale,399490.0,4.0,3.0,0.17,1058012.0,Candler,North Carolina,28715.0,2824.0,N/A
43553.0,for_sale,74900.0,2.0,1.0,0.17,761286.0,Canton,Ohio,44706.0,672.0,N/A
81553.0,for_sale,599000.0,3.0,2.0,0.14,526468.0,Jensen Beach,Florida,34957.0,1816.0,2021-04-28 00:00:00
16832.0,for_sale,3500000.0,5.0,5.0,0.23,1289565.0,Tampa,Florida,33629.0,4591.0,2012-08-14 00:00:00
105023.0,for_sale,319000.0,3.0,2.0,0.73,1432284.0,Sugar Hill,Georgia,30518.0,1456.0,2010-01-15 00:00:00
104467.0,for_sale,574000.0,5.0,3.0,7.4,844039.0,Rotterdam,New York,12306.0,3409.0,N/A
22550.0,for_sale,352400.0,3.0,3.0,0.2,482322.0,Bethlehem,New York,12077.0,1800.0,N/A
49565.0,for_sale,468500.0,4.0,3.0,0.16,1036056.0,Davenport,Florida,33837.0,2261.0,2021-02-15 00:00:00
91634.0,for_sale,525000.0,3.0,2.0,0.11,324543.0,Columbus,Ohio,43212.0,1904.0,2014-05-13 00:00:00
7153.0,for_sale,37500.0,2.0,1.0,0.15,942513.0,Nokomis,Illinois,62075.0,718.0,N/A
15489.0,for_sale,580000.0,4.0,4.0,0.12,445472.0,Winter Garden,Florida,34787.0,2477.0,2018-10-11 00:00:00
